transaction_amount,category,vendor_category,daily_tx_count,wallet_balance_pct,monthly_budget_used_pct,category_budget_used_pct,days_elapsed_in_month,spend_velocity,days_remaining_budget,is_weekend,hour_of_day,expenditure_level,duration_risk,behaviour_class
1060,Food,Pharmacy,4,86.2,31.1,84.4,21,807.0,3.8,0,16,Low,Critical,Survival
3972,Entertainment,Canteen,8,60.9,120.2,114.1,3,1194.0,1.8,0,15,High,Critical,Lifestyle
3292,Entertainment,Bookshop,6,31.3,39.5,11.9,21,3088.0,9.6,0,13,Low,Warning,Survival
666,Study,Bookshop,1,42.8,39.3,136.1,15,1479.0,2.6,0,14,Low,Critical,Lifestyle
4626,Food,Stationery,7,69.6,107.7,64.1,3,2227.0,16.1,1,11,High,Safe,Lifestyle
3644,Transport,Stationery,1,89.6,22.7,131.7,5,1645.0,0.4,0,19,Low,Critical,Lifestyle
3371,Study,Stationery,3,8.9,36.6,15.5,13,2274.0,13.3,1,14,Low,Safe,Survival
3119,Entertainment,Canteen,8,11.8,70.4,30.4,26,1713.0,5.4,1,19,Medium,Warning,Survival
330,Food,Pharmacy,9,35.9,109.7,55.2,26,3980.0,11.0,0,13,High,Safe,Leakage
1885,Other,Bookshop,3,27.1,27.7,58.4,15,1751.0,20.3,0,11,Low,Safe,Survival
969,Transport,Bookshop,1,30.2,75.7,128.7,17,2695.0,10.5,1,11,Medium,Safe,Lifestyle
2591,Entertainment,Pharmacy,1,26.0,95.3,11.6,6,3609.0,10.2,0,7,High,Safe,Lifestyle
2633,Study,Bookshop,7,23.6,113.3,99.8,23,2733.0,29.7,0,10,High,Safe,Lifestyle
1384,Food,Pharmacy,5,17.4,122.3,28.4,18,2481.0,21.6,0,8,High,Safe,Lifestyle
4755,Transport,Canteen,1,93.7,104.2,125.3,3,2492.0,15.4,1,16,High,Safe,Lifestyle
3585,Food,Canteen,6,18.7,88.3,119.0,26,2238.0,17.4,0,12,High,Safe,Lifestyle
4317,Other,Canteen,6,24.4,62.0,80.0,9,3327.0,18.6,1,14,Medium,Safe,Survival
3104,Study,Pharmacy,4,28.4,23.5,39.8,8,676.0,0.7,0,18,Low,Critical,Survival
674,Food,Pharmacy,7,93.6,95.2,98.8,20,3598.0,2.4,0,21,High,Critical,Leakage
1282,Entertainment,Snack_Bar,7,76.8,129.1,31.9,11,2552.0,19.5,1,17,High,Safe,Lifestyle
2758,Study,Bookshop,9,80.0,98.4,36.6,28,3471.0,10.9,1,13,High,Safe,Lifestyle
2247,Entertainment,Bookshop,1,15.0,12.0,97.7,24,536.0,1.7,1,19,Low,Critical,Survival
2947,Food,Snack_Bar,5,84.4,69.6,148.8,11,3542.0,8.9,0,19,Medium,Warning,Lifestyle
1175,Study,Snack_Bar,10,43.8,83.8,134.7,8,920.0,3.9,0,10,Medium,Critical,Lifestyle
2006,Entertainment,Canteen,3,30.0,92.8,93.0,30,3024.0,27.5,1,15,High,Safe,Lifestyle
389,Other,Snack_Bar,7,59.7,96.4,85.4,22,1958.0,6.1,1,19,High,Warning,Leakage
2934,Other,Pharmacy,4,83.1,77.0,149.8,30,2884.0,4.3,0,22,Medium,Warning,Lifestyle
3205,Food,Stationery,4,79.0,36.8,86.6,1,2699.0,18.8,0,9,Low,Safe,Survival
4858,Study,Pharmacy,1,89.5,123.1,68.8,2,1072.0,15.7,0,20,High,Safe,Lifestyle
2099,Transport,Snack_Bar,1,93.2,93.6,137.3,20,2301.0,17.3,0,16,High,Safe,Lifestyle
1467,Study,Bookshop,10,27.6,38.4,42.8,4,1470.0,13.1,0,14,Low,Safe,Survival
1728,Other,Pharmacy,2,45.3,48.7,23.7,2,2462.0,14.0,1,20,Low,Safe,Survival
3402,Entertainment,Bookshop,2,6.4,120.6,98.8,25,3083.0,23.4,0,7,High,Safe,Lifestyle
3756,Transport,Pharmacy,1,88.5,116.5,23.4,2,784.0,6.6,0,6,High,Warning,Lifestyle
4090,Food,Bookshop,8,19.7,58.6,62.2,13,2305.0,11.9,0,22,Medium,Safe,Survival
846,Transport,Pharmacy,6,86.8,14.6,69.3,29,2662.0,28.7,1,9,Low,Safe,Survival
3088,Food,Bookshop,6,36.3,15.8,86.7,22,1534.0,5.7,1,10,Low,Warning,Survival
2635,Transport,Stationery,10,40.0,44.1,148.8,21,3836.0,8.8,0,10,Low,Warning,Lifestyle
800,Food,Canteen,10,8.7,85.5,40.9,20,2321.0,5.7,0,19,High,Warning,Lifestyle
2563,Food,Pharmacy,9,36.1,80.1,62.6,6,1139.0,0.6,1,6,Medium,Critical,Survival
2261,Transport,Stationery,5,89.4,86.1,28.5,4,877.0,8.1,0,7,High,Warning,Lifestyle
441,Transport,Canteen,4,7.4,96.1,95.1,25,2396.0,1.4,1,15,High,Critical,Lifestyle
2241,Food,Pharmacy,11,43.6,12.3,111.9,27,1813.0,4.6,1,10,Low,Warning,Survival
3024,Other,Stationery,6,8.0,22.6,77.5,26,1174.0,10.9,1,14,Low,Safe,Survival
2812,Transport,Stationery,8,40.2,53.1,44.4,15,607.0,0.6,0,18,Medium,Critical,Survival
1563,Study,Stationery,1,21.4,28.6,96.9,23,2483.0,22.6,1,18,Low,Safe,Survival
1678,Entertainment,Snack_Bar,7,29.0,19.0,85.5,3,2595.0,23.9,0,14,Low,Safe,Survival
2756,Food,Bookshop,8,88.4,86.9,34.0,28,996.0,12.3,1,19,High,Safe,Lifestyle
975,Food,Canteen,9,46.4,107.8,66.8,26,2606.0,29.5,1,22,High,Safe,Lifestyle
4214,Entertainment,Bookshop,11,31.0,100.3,70.9,4,3832.0,20.4,1,8,High,Safe,Lifestyle
234,Other,Bookshop,8,61.0,108.0,147.6,17,3924.0,22.3,1,17,High,Safe,Leakage
3352,Entertainment,Bookshop,7,18.5,89.9,128.9,6,3610.0,5.8,1,14,High,Warning,Lifestyle
2155,Transport,Stationery,3,29.6,98.2,112.8,2,3325.0,25.1,0,21,High,Safe,Lifestyle
1785,Entertainment,Bookshop,2,56.9,42.6,134.4,20,1233.0,28.4,1,18,Low,Safe,Lifestyle
4143,Food,Snack_Bar,3,27.6,129.2,113.0,13,1048.0,7.1,1,17,High,Warning,Lifestyle
3273,Entertainment,Pharmacy,4,69.5,32.0,136.5,15,2057.0,20.6,0,7,Low,Safe,Lifestyle
1221,Study,Stationery,4,51.7,35.7,17.6,5,2669.0,22.4,0,6,Low,Safe,Survival
3661,Transport,Canteen,6,78.3,44.7,73.8,28,3477.0,9.2,1,11,Low,Warning,Survival
2813,Entertainment,Pharmacy,7,95.1,127.0,114.6,24,1312.0,14.3,0,8,High,Safe,Lifestyle
4043,Food,Pharmacy,4,16.0,128.6,91.7,19,2179.0,2.9,1,11,High,Critical,Lifestyle
1700,Transport,Pharmacy,10,36.8,105.4,34.5,6,2766.0,5.2,1,9,High,Warning,Lifestyle
4998,Food,Bookshop,6,35.4,85.5,57.7,17,2060.0,1.8,1,22,High,Critical,Lifestyle
361,Other,Bookshop,9,19.4,72.4,54.5,25,2090.0,16.8,0,12,Medium,Safe,Leakage
4497,Study,Stationery,6,82.0,126.5,46.6,28,1288.0,18.8,1,7,High,Safe,Lifestyle
2181,Other,Bookshop,3,77.2,93.5,58.0,1,3953.0,27.5,0,20,High,Safe,Lifestyle
1195,Study,Bookshop,1,51.0,123.4,82.1,2,2163.0,16.3,1,22,High,Safe,Lifestyle
3542,Entertainment,Bookshop,11,56.1,48.0,129.7,1,2365.0,7.8,1,11,Low,Warning,Lifestyle
4751,Transport,Stationery,10,10.7,50.1,113.9,8,1265.0,1.8,0,13,Medium,Critical,Survival
3998,Entertainment,Stationery,10,57.8,112.6,126.9,29,2299.0,26.5,1,13,High,Safe,Lifestyle
1475,Study,Snack_Bar,5,80.2,28.0,133.7,4,1394.0,14.4,1,12,Low,Safe,Lifestyle
1216,Study,Snack_Bar,10,59.5,123.5,68.3,18,1208.0,22.1,0,9,High,Safe,Lifestyle
537,Study,Snack_Bar,10,30.2,70.9,58.4,23,1465.0,0.4,0,10,Medium,Critical,Leakage
1078,Food,Snack_Bar,3,68.4,121.2,18.1,24,510.0,14.6,1,13,High,Safe,Lifestyle
1276,Transport,Pharmacy,8,39.3,50.4,140.3,9,2496.0,9.8,1,19,Medium,Warning,Lifestyle
4193,Entertainment,Pharmacy,10,56.8,95.9,19.2,15,1856.0,0.9,0,8,High,Critical,Lifestyle
579,Entertainment,Snack_Bar,1,51.3,67.9,113.8,16,3645.0,23.3,1,20,Medium,Safe,Survival
